drug_id,atc_code
DDInter1140,P01BC02
DDInter1141,G03FB04
DDInter1141,G03DB02
DDInter1141,G03FA08
DDInter1141,G03AC05
DDInter1141,L02AB01
DDInter1141,G03AA04
DDInter1141,G03AB01
DDInter1142,N05CH01
DDInter1143,N01BB59
DDInter1143,M01AC56
DDInter1143,M01AC06
DDInter1144,L01AA03
DDInter1145,L01AA10
DDInter1146,N06DA52
DDInter1146,N06DX01
DDInter1146,N06DA53
DDInter1148,G03GA02
DDInter1148,G03GA03
DDInter1149,A03AB12
DDInter1150,N02AB02
DDInter1150,N02AB72
DDInter1150,N02AB52
DDInter1150,N02AG03
DDInter1151,C01CA11
DDInter1152,N03AB04
DDInter1152,N03AB54
DDInter1153,N01BB53
DDInter1153,N01BB03
DDInter1154,N05BC51
DDInter1154,N05CX01
DDInter1154,N05BC01
DDInter1155,D04AA02
DDInter1155,R06AC01
DDInter1156,L01BB02
DDInter1156,R03DA20
DDInter1157,J01DH02
DDInter1157,J01DH52
DDInter1158,A07EC02
DDInter1159,N05AC03
DDInter1161,N06BA03
DDInter1162,C01CA09
DDInter1164,A10BD23
DDInter1164,A10BD02
DDInter1164,A10BD18
DDInter1164,A10BD11
DDInter1164,A10BD25
DDInter1164,A10BA02
DDInter1164,A10BD22
DDInter1164,A10BD14
DDInter1164,A10BD16
DDInter1164,A10BD17
DDInter1164,A10BD05
DDInter1164,A10BD15
DDInter1164,A10BD07
DDInter1164,A10BD10
DDInter1164,A10BD13
DDInter1164,A10BD26
DDInter1164,A10BD20
DDInter1164,A10BD08
DDInter1164,A10BD27
DDInter1164,A10BD03
DDInter1165,V04CX03
DDInter1166,N07BC02
DDInter1166,N02AC52
DDInter1167,G01AE10
DDInter1167,S01EC05
DDInter1168,R06AD04
DDInter1169,J01XX05
DDInter117,B01AE03
DDInter1170,H03BB52
DDInter1170,H03BB02
DDInter1171,V03AB26
DDInter1172,M03BA73
DDInter1172,M03BA03
DDInter1172,M03BA53
DDInter1173,N05CB01
DDInter1173,N01AF01
DDInter1173,N05CA15
DDInter1174,L04AX03
DDInter1174,L01BA01
DDInter1175,N05AA02
DDInter1176,C01CA10
DDInter1177,D05BA02
DDInter1177,D05AD02
DDInter1178,D05BA02
DDInter1178,D05AD02
DDInter1179,N02BG09
DDInter118,N05AX12
DDInter1180,A03CB01
DDInter1180,S01FA03
DDInter1180,A03BB03
DDInter1181,N03AD03
DDInter1184,A06AC06
DDInter1185,C02AB01
DDInter1186,V03AB17
DDInter1186,V04CG05
DDInter1187,G02AC01
DDInter1187,G02AB01
DDInter1188,A06AH01
DDInter1189,N06BA04
DDInter119,N06BA13
DDInter1190,N03AA01
DDInter1190,N05CB01
DDInter1191,D10AA02
DDInter1191,H02AB04
DDInter1191,H02BX01
DDInter1191,D07CA02
DDInter1191,S01CA08
DDInter1191,D07AA01
DDInter1192,D10AA02
DDInter1192,H02AB04
DDInter1192,H02BX01
DDInter1192,D07CA02
DDInter1192,S01CA08
DDInter1192,D07AA01
DDInter1193,G03BA02
DDInter1193,G03EA01
DDInter1193,G03EK01
DDInter1194,N02CA04
DDInter1195,J01CR50
DDInter1195,J01CF03
DDInter1196,J01CR50
DDInter1196,J01CF03
DDInter1197,A03FA01
DDInter1199,C03EA12
DDInter1199,G01AE10
DDInter1199,C03BA08
DDInter12,C07AB04
DDInter12,C07BB04
DDInter120,L01XX27
DDInter1200,C07FB02
DDInter1200,C07FX05
DDInter1200,C07FX03
DDInter1200,C07FB13
DDInter1200,C07AB02
DDInter1200,C07BB52
DDInter1200,C07CB02
DDInter1200,C07BB02
DDInter1201,A16AA07
DDInter1202,A02BD11
DDInter1202,P01AB52
DDInter1202,D06BX01
DDInter1202,A02BD03
DDInter1202,J01XD01
DDInter1202,J01RA04
DDInter1202,A02BD01
DDInter1202,J01RA14
DDInter1202,A02BD15
DDInter1202,J01RA03
DDInter1202,A01AB17
DDInter1202,G01AF20
DDInter1202,J01RA10
DDInter1202,A02BD02
DDInter1202,A02BD13
DDInter1202,G01AF01
DDInter1202,P01AB51
DDInter1202,A02BD08
DDInter1202,P01AB01
DDInter1203,A02BD11
DDInter1203,P01AB52
DDInter1203,D06BX01
DDInter1203,A02BD03
DDInter1203,J01XD01
DDInter1203,J01RA04
DDInter1203,A02BD01
DDInter1203,J01RA14
DDInter1203,A02BD15
DDInter1203,J01RA03
DDInter1203,A01AB17
DDInter1203,G01AF20
DDInter1203,J01RA10
DDInter1203,A02BD02
DDInter1203,A02BD13
DDInter1203,G01AF01
DDInter1203,P01AB51
DDInter1203,A02BD08
DDInter1203,P01AB01
DDInter1204,V04CD01
DDInter1205,C02KB01
DDInter1206,C01BB02
DDInter1207,J01CR50
DDInter1207,J01CA10
DDInter1208,J02AX05
DDInter1209,A07AC01
DDInter1209,J02AB01
DDInter1209,D01AC52
DDInter1209,G01AF20
DDInter1209,A01AB09
DDInter1209,D01AC02
DDInter1209,S02AA13
DDInter1209,G01AF04
DDInter121,P01BF01
DDInter121,P01BE02
DDInter1210,A07AC01
DDInter1210,J02AB01
DDInter1210,D01AC52
DDInter1210,G01AF20
DDInter1210,A01AB09
DDInter1210,D01AC02
DDInter1210,S02AA13
DDInter1210,G01AF04
DDInter1212,N05CD08
DDInter1213,C01CA17
DDInter1214,L01EX10
DDInter1215,G03XB01
DDInter1215,G03XB51
DDInter1216,A16AX14
DDInter1217,A10BF02
DDInter1218,A16AX06
DDInter122,P01BE03
DDInter122,P01BF09
DDInter122,P01BF02
DDInter122,P01BF03
DDInter122,P01BF06
DDInter122,P01BF04
DDInter1220,N06AX17
DDInter1221,C01CE02
DDInter1222,P01CX04
DDInter1223,A06AA01
DDInter1223,A06AA51
DDInter1224,D10AF07
DDInter1224,J01AA08
DDInter1224,J01AA20
DDInter1224,A01AB23
DDInter1225,D10AF07
DDInter1225,J01AA08
DDInter1225,J01AA20
DDInter1225,A01AB23
DDInter1226,D11AX01
DDInter1226,C02DC01
DDInter1227,D11AX01
DDInter1227,C02DC01
DDInter1228,C10AX11
DDInter1229,G04BD12
DDInter123,N01BB58
DDInter123,N01BB08
DDInter1230,N06AX11
DDInter1231,G02AD06
DDInter1231,A02BB01
DDInter1231,M01AE56
DDInter1232,L01DC03
DDInter1233,L01XX23
DDInter1234,L01DB07
DDInter1235,M03AC10
DDInter1236,N06BA07
DDInter1237,C09AA13
DDInter1237,C09BA13
DDInter1238,L01FX09
DDInter1239,N05AE02
DDInter124,G01AD03
DDInter124,A11GA01
DDInter124,A11GB01
DDInter124,S01XA15
DDInter1242,R03DC03
DDInter1242,R03DC53
DDInter1243,C01BG01
DDInter1244,A07DA52
DDInter1244,N02AA51
DDInter1244,N02AA01
DDInter1244,N02AG01
DDInter1245,A07DA52
DDInter1245,N02AA51
DDInter1245,N02AA01
DDInter1245,N02AG01
DDInter1247,S01AE07
DDInter1247,J01MA14
DDInter1249,R01AX06
DDInter1249,D06AX09
DDInter125,N05AH05
